Environment	Genotype	Block	BN	FT	MT	DT	PH	SN	SP	PW	PN	SW	SY	OIL	PNM
N3	TN030	R3	11.8	.	.	.	.	19.44789761	10633.13802	0.059743941	5467.5	3.072	3266.5	45.006	642.5
N3	TN031	R1	10	199	251	52	160	16.97006312	8608.064516	0.052607196	5072.5	3.1	2668.5	46.176	642.5
N3	TN031	R2	.	.	.	.	.	.	10073.40946	.	.	3.065	3087.5	44.85	.
N3	TN031	R3	8.6	.	.	.	.	15.95745664	7623.674912	0.054191523	4777.5	3.396	2589	46.514	865
N3	TN032	R1	10.2	197	254	57	140	16.77239349	8872.596154	0.052329868	5290	3.12	2768.25	42.48	577.5
N3	TN032	R2	10.4	.	.	.	.	14.71987393	9409.679408	0.047751271	6392.5	3.244	3052.5	42.426	502.5
N3	TN032	R3	11.6	.	.	.	.	18.0110836	11265.93279	0.062174261	6255	3.452	3889	43.118	510
N3	TN033	R1	11	198	255	57	145	16.09455345	9395.195578	0.03785439	5837.5	2.352	2209.75	42.71	657.5
N3	TN033	R2	11	.	.	.	.	16.09921656	7832.268856	0.052934224	4865	3.288	2575.25	47.778	760
N3	TN033	R3	11.6	.	.	.	.	15.73918393	8235.52799	0.049483994	5232.5	3.144	2589.25	47.716	660
N3	TN034	R1	10.6	197	252	55	150	11.93574203	6883.939213	0.04005635	5767.5	3.356	2310.25	39.37	835
N3	TN034	R2	10.8	.	.	.	.	.	.	.	5772.5	.	2552.75	.	627.5
N3	TN034	R3	9.8	.	.	.	.	14.41492369	6375	0.054488412	4422.5	3.78	2409.75	41.894	732.5
N3	TN035	R1	10.8	194	252	58	120	11.87425276	6560.524652	0.037570136	5525	3.164	2075.75	45.67	730
N3	TN035	R2	10.6	.	.	.	.	12.40578576	6733.240223	0.044412713	5427.5	3.58	2410.5	46.224	632.5
N3	TN035	R3	10.2	.	.	.	.	11.31048609	4778.680371	0.034112426	4225	3.016	1441.25	44.558	670
N3	TN036	R1	9.4	194	253	59	144	6.672509219	3389.634683	0.030319882	5080	4.544	1540.25	40.284	762.5
N3	TN036	R2	9.6	.	.	.	.	4.715810414	2945.023603	0.02397518	6245	5.084	1497.25	40.792	855
N3	TN036	R3	10.2	.	.	.	.	11.49744252	7550.945378	0.054727826	6567.5	4.76	3594.25	43.558	875
N3	TN037	R1	11.6	194	252	58	155	14.73023436	10241.19544	0.059392305	6952.5	4.032	4129.25	43.072	860
N3	TN037	R2	11.8	.	.	.	.	10.60035691	9087.155963	0.040440362	8572.5	3.815	3466.75	40.964	1065
N3	TN037	R3	8	.	.	.	.	9.112700746	5032.488987	0.041371661	5522.5	4.54	2284.75	41.468	785
N3	TN038	R1	9.8	196	252	56	145	7.877264395	5352.601156	0.027255335	6795	3.46	1852	42.07	807.5
N3	TN038	R2	10.6	.	.	.	.	8.272475948	6766.885326	0.034049511	8180	4.116	2785.25	42.7	840
N3	TN038	R3	9.8	.	.	.	.	7.062429743	4957.825679	0.03014245	7020	4.268	2116	42.1	825
N3	TN039	R1	12.6	197	252	55	148	20.22318518	13913.5514	0.069244186	6880	3.424	4764	45.56	780
N3	TN039	R2	11.6	.	.	.	.	15.10355133	10508.29584	0.053708229	6957.5	3.556	3736.75	46.31	825
N3	TN039	R3	11.2	.	.	.	.	13.90469226	10327.71018	0.050279367	7427.5	3.616	3734.5	45.314	850
